strelevel,tmp_item_id_1,tmp_item_num_1,strelevel_hplimit_add,strelevel_attack_add,strelevel_defence_add,strelevel_movespeed_mut,strelevel_maxbombnum_mut,strelevel_maxbombrange_mut,strelevel_bombreload_mut,upgrade_cost_gold
0,2001001,1,,96,,,,,,100
1,2001001,1,,96,,,,,,100
2,2001001,1,,,0.001,,,,,100
3,2001001,1,154,,,,,,,100
4,2001001,1,,,,0.002,,,,100
5,2001001,1,,,,,,0.002,,100
6,2001001,1,,,,,,,0.003,100
7,2001001,2,,,,0.006,,,,100
8,2001001,2,,603,,,,,,100
9,2001001,3,,,0.005,,,,,100
10,2001001,3,969,,,,,,,100
11,2001001,4,,,,,,0.009,,100
12,2001001,7,,1110,,,,,,100
13,2001001,8,,,,,,,0.013,100
14,2001001,10,,,0.009,,,,,100
15,2001001,11,,,,0.011,,,,100
16,2001001,12,,1617,,,,,,100
17,2001001,14,1785,,,,,,,100
18,2001001,25,,,,,,0.015,,100
19,2001001,27,,,,,,,0.023,100
20,2001001,30,,2124,,,,,,100
21,2001001,32,,,,,,0.022,,100
22,2001001,35,,,0.013,,,,,100
23,2001001,38,,,,0.016,,,,100
24,2001001,60,2600,,,,,,,100
25,2001001,65,,,,,,,0.033,100
26,2001001,69,,,0.017,,,,,100
27,2001001,73,3416,,,,,,,100
28,2001001,78,,2631,,,,,,100
29,2001001,82,,,,,,0.028,,100
30,2001001,123,,,,0.021,,,,100
31,2001001,130,4231,,,,,,,100
32,2001001,136,,,,,,,0.042,100
33,2001001,143,,,0.021,,,,,100
34,2001001,150,,3138,,,,,,100
35,2001001,157,,,,,,0.035,,100
36,2001001,221,,,,,,,0.052,100
37,2001001,231,,,,0.026,,,,100
38,2001001,240,5046,,,,,,,100
39,2001001,250,,,,,,0.041,,100
40,2001001,259,,,0.025,,,,,100
41,2001001,269,,3645,,,,,,100
42,2001001,364,,,,,,,0.062,100
43,2001001,376,,,,0.031,,,,100
44,2001001,389,5862,,,,,,,100
45,2001001,402,,,,,,0.048,,100
46,2001001,415,,,0.029,,,,,100
47,2001001,428,,4153,,,,,,100
48,2001001,559,,,,,,,0.072,100
49,2001001,575,,,,0.036,,,,100
50,2001001,592,6677,,,,,,,100
